MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20250605		000010119610		A00A0433401	KSX-7001CDIDRC RoHS	50	35.000	PC	P100	1911			5002986041	0001	101	F	S	249499.00000	8732465.00000	0.00000	0.00000
B10	20250605		000010119639		E00A5033200	7001CDIDRCﾒｲﾝﾊｰﾈｽ加工図	50	50.000	PC	P100	1210		X	5002985855	0001	101	F	S	818.00000	40900.00000	0.00000	0.00000
B10	20250609	I-0337846-10	000040161811		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	3	1.000	PC	P100	1911	X		4908218192	0001	581		S	1244302.00000	1244302.00000	1950000.00000	1950000.00000
B10	20250612		000010133028		U0A465902	＆BKU-12RFA21N20 16A RoHS	2	2.000	PC	P100	1210		X	5002987613	0001	101	F	S	10366.00000	20732.00000	0.00000	0.00000
B10	20250612		000010132305		U0A465902	＆BKU-12RFA21N20 16A RoHS	31	31.000	PC	P100	1210		X	5002987618	0001	101	F	S	10366.00000	321346.00000	0.00000	0.00000
B10	20250613		000010133027		U0A465900	BKU-12RFA21N20 16A RoHS	2	2.000	PC	P100	1910		X	5002987779	0001	101	F	S	12408.00000	24816.00000	0.00000	0.00000
B10	20250613		000010133026		U0A465900	BKU-12RFA21N20 16A RoHS	31	31.000	PC	P100	1910		X	5002987784	0001	101	F	S	12408.00000	384648.00000	0.00000	0.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988281	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988282	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988283	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988284	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988285	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988286	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988287	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988288	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988289	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988290	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988291	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988292	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988293	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988294	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988295	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988296	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988297	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988298	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911			5002988299	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250616		000010132716		U0A970300	SPU-2020	20	1.000	PC	P100	1911		X	5002988300	0001	101	F	S	19052.00000	19052.00000	21000.00000	21000.00000
B10	20250618	I-0337846-10	000040161811		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	3	1.000	PC	P100	1911	X		4908229420	0001	581		S	1244302.00000	1244302.00000	1950000.00000	1950000.00000
B10	20250620		000010130793		A00A1201200	SW-V02    (REACH)	15	15.000	PC	P100	1911		X	5002989607	0001	101	F	S	292309.00000	4384635.00000	410000.00000	6150000.00000
B10	20250620		000010132307		A6A686900	KSX-100MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002989599	0001	101	F	S	213386.00000	2133860.00000	322000.00000	3220000.00000
B10	20250620		000010132306		A6A686900	KSX-100MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002989600	0001	101	F	S	213386.00000	2133860.00000	322000.00000	3220000.00000
B10	20250620		000010131952		A6A686900	KSX-100MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002989601	0001	101	F	S	213386.00000	2133860.00000	322000.00000	3220000.00000
B10	20250620		000010131949		A6A686900	KSX-100MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002989602	0001	101	F	S	213386.00000	2133860.00000	322000.00000	3220000.00000
B10	20250620		000010131950		A6A686900	KSX-100MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002989603	0001	101	F	S	213386.00000	2133860.00000	322000.00000	3220000.00000
B10	20250620		000010131951		A6A686900	KSX-100MHXP ﾘｮｳｻﾝｷ	10	10.000	PC	P100	1911		X	5002989604	0001	101	F	S	213386.00000	2133860.00000	322000.00000	3220000.00000
B10	20250620		000010131637		A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	10.000	PC	P100	1911		X	5002989597	0001	101	F	S	206127.00000	2061270.00000	288000.00000	2880000.00000
B10	20250620		000010131636		A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	10.000	PC	P100	1911		X	5002989598	0001	101	F	S	206127.00000	2061270.00000	288000.00000	2880000.00000
B10	20250620		000010131947		A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	10.000	PC	P100	1911		X	5002989605	0001	101	F	S	206127.00000	2061270.00000	288000.00000	2880000.00000
B10	20250620		000010131635		A6A921400	KSX-80MHXP ﾘｮｳｻﾝ	10	10.000	PC	P100	1911		X	5002989606	0001	101	F	S	206127.00000	2061270.00000	288000.00000	2880000.00000
B10	20250620	M-0343854-10	000040164708		A00A2128900	HKD-202GU(K)	1	1.000	PC	P100	1911	X		4908231954	0001	581		S	181828.00000	181828.00000	260000.00000	260000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990068	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990069	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990070	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990071	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990072	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990073	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990074	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990075	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911			5002990076	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010132551		A00A1962100	MRT-10010C        STD	10	1.000	PC	P100	1911		X	5002990077	0001	101	F	S	281928.00000	281928.00000	357000.00000	357000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990078	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990079	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990080	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990081	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990082	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990083	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990084	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990085	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911			5002990086	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250624		000010131914		A00A1962600	MRT-15010C        STD	10	1.000	PC	P100	1911		X	5002990087	0001	101	F	S	315721.00000	315721.00000	441000.00000	441000.00000
B10	20250625		000010132670		A2A884300	KHF-60/120 CE        STD	10	10.000	PC	P100	1911		X	5002990682	0001	101	F	S	91864.00000	918640.00000	70000.00000	700000.00000
